treatment_attempt_turnout_call,contacted,voted_aug2008,voted_nov2002
1,1,0,0
0,0,0,0
1,0,0,1
1,1,0,1
0,1,1,1
0,1,0,1
0,0,0,1
0,1,0,0
0,0,1,1
1,1,0,1
0,1,0,1
1,1,0,0
0,1,1,1
1,0,1,1
0,0,0,1
1,1,0,1
1,1,0,1
0,0,0,1
1,1,0,1
0,1,0,1
0,0,0,1
1,0,0,1
0,0,0,1
1,0,0,0
1,1,1,1
0,1,0,1
0,0,0,1
0,0,0,1
0,1,0,0
1,1,0,1
0,1,0,1
0,1,1,1
1,1,0,0
0,0,0,0
0,1,0,0
1,1,0,1
1,1,0,0
1,1,0,1
1,0,1,0
1,1,0,1
1,1,0,1
0,1,0,1
0,0,0,1
1,1,1,1
0,1,1,1
1,1,1,1
0,1,0,1
1,1,0,1
0,1,1,1
0,1,0,0
1,0,1,1
1,1,0,0
0,1,1,1
1,1,0,1
1,1,0,1
0,0,0,0
1,0,0,0
1,1,0,0
1,0,0,0
1,0,0,1
1,1,1,1
0,0,0,1
0,1,0,1
1,1,1,1
0,1,0,1
1,1,1,1
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,1,0,1
1,1,0,1
1,0,1,0
0,1,1,1
1,0,0,0
1,1,1,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,0
0,0,0,1
1,0,1,1
1,1,0,1
1,1,1,1
0,0,0,0
1,1,0,1
0,0,0,0
1,1,0,0
0,1,0,0
1,0,0,1
1,1,0,1
1,0,0,1
0,0,0,1
1,1,0,0
1,1,1,1
0,0,0,1
0,1,1,1
1,1,0,0
1,1,1,1
0,1,0,0
0,1,0,1
0,0,1,1
0,0,1,1
1,0,0,1
0,1,0,0
1,1,0,1
1,0,0,0
1,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,0
1,1,0,0
0,1,0,1
0,1,0,0
1,1,1,1
0,1,0,1
1,0,0,1
0,1,0,1
0,0,0,1
0,0,1,1
0,1,0,1
1,1,0,0
1,1,0,0
1,0,1,1
1,0,0,1
1,1,0,1
0,1,1,1
1,0,0,1
1,0,1,1
0,1,0,1
1,1,0,0
1,0,0,1
1,1,1,1
1,1,0,1
1,0,0,1
1,0,0,1
1,1,0,1
1,1,0,1
0,0,1,1
1,1,0,1
1,1,0,1
0,1,1,0
0,0,1,1
0,1,0,0
0,1,1,1
0,0,1,1
0,0,0,0
0,0,0,1
0,1,1,1
1,1,0,1
0,0,1,1
1,1,0,1
1,0,0,1
1,1,0,0
1,0,0,1
1,0,0,0
0,1,0,1
1,0,0,1
0,1,0,0
1,1,0,0
1,1,0,1
0,1,0,0
1,1,0,1
1,0,0,0
0,1,0,1
0,0,0,0
0,1,0,0
1,0,0,0
1,0,0,1
1,1,0,1
0,0,0,1
0,0,1,1
0,0,0,1
1,0,0,0
1,0,1,1
0,1,0,0
1,1,0,1
1,0,0,1
0,0,0,0
1,1,1,1
0,0,0,1
1,1,0,1
0,1,1,1
0,1,0,1
0,0,0,1
1,0,0,0
1,1,0,0
1,0,0,1
1,1,0,1
1,0,0,1
0,0,0,0
1,0,0,1
1,1,1,1
0,1,0,1
1,0,0,1
0,0,0,1
1,0,0,0
0,1,1,1
0,0,0,1
0,1,0,0
1,0,1,1
1,0,0,0
0,0,0,0
1,1,0,1
0,0,0,0
1,1,0,1
0,0,1,1
0,1,0,1
1,1,1,1
1,0,0,1
